GEO/INDICATEUR,TJP,TSP,T_CHOM,T_TEMP,ECH_SCO,ENS_SUP,DIF_FIN,SEUIL_PAU,ACC_SOINS,T_SUICIDE
European Union,"10,9",19,"8,5","51,1",11,"82,3",10,"23,6","2,9","7,427647059"
Belgium,"11,8",18,"6,6","36,6","10,1","84,4","7,2","19,5","1,9","8,75"
Bulgaria,10,20,"5,6","11,6","13,4","85,1","36,2","25,7","2,3","4,12"
Czechia,"10,3","17,9","4,1","30,9","6,2","90,4","6,8","11,9","0,4","7,3"
Denmark,"12,9","18,5","7,1","23,1","8,1","74,2","6,6","31,7","0,7","3,27"
Germany,"10,6",21,"3,5","54,2","10,1","77,1","4,9","19,5","0,1","5,95"
Estonia,"10,7","18,8","5,5","11,5","12,2","82,1","3,7","20,9",6,"15,99"
Ireland,"12,2","12,9","9,6","33,8","6,8","93,5","12,8","24,7","2,9","8,91"
Greece,"10,3","20,9","12,9","33,2","7,9","89,6","30,8","30,1","3,7","2,18"
Spain,"9,6","18,5","16,8","71,3",20,"68,5","8,3","33,4","0,2","3,47"
France,"11,9","18,4","9,2","58,1","9,2","87,3","6,4","18,4","1,6","4,8"
Croatia,"11,5","18,9",14,"61,5","2,8","95,9","14,2","19,9","0,2","8,27"
Italy,"9,8","21,7","10,6","58,9","14,7","80,1","14,3","26,2","2,6","3,19"
Cyprus,14,"14,6","12,4","25,1","5,2","94,3","21,4","16,6","0,8","5,08"
Latvia,"10,7","19,4","6,7","10,9","9,9","86,1","18,4","23,7","1,7","14,08"
Lithuania,"12,9","18,7","5,5","6,5","5,5","90,9","17,6","23,9","0,2","20,39"
Luxembourg,12,"14,2","6,1","50,5","9,3","68,5","3,1","22,1","0,3","7,36"
Hungary,"11,6","17,9","5,4","24,2","11,6","84,2",24,"23,5","0,6","7,41"
Malta,"12,6","18,1",6,"16,1","20,2","77,1","11,9","13,9","0,9","5,62"
Netherlands,"12,2","17,7","7,7","52,6","8,2",80,"1,7","22,9","0,1","5,97"
Austria,"11,8","18,4","6,1","36,9","7,3","88,7","4,7","16,9",0,"7,94"
Poland,"11,9","15,4","6,8","72,7","5,3","90,8","9,3","23,8","2,2","11,42"
Portugal,"10,6","20,3","10,7","67,3","13,7",77,"11,4","25,3","1,4","3,35"
Romania,"11,1",17,"6,8","5,4","19,1","79,7","26,1","36,9","1,1","6,4"
Slovenia,"9,8","17,9","5,8",76,5,"90,9","5,6","15,1","0,2","8,46"
Slovakia,"12,2",14,"8,4","29,1","6,9","91,3","10,5",13,"0,9","4,63"
Finland,"11,9",20,"11,7","42,2","9,2","86,8","3,3","25,5","3,5","10,86"
Sweden,"12,3","19,6","11,2","55,2",7,"87,3","1,6","28,7","1,4",9
United Kingdom,"12,5","17,8","8,6","14,3","10,8","85,7","9,6","24,9","2,2","5,78"
Iceland,"14,3","13,6","7,1","33,3","18,8","62,4","1,9","12,2","5,9","14,87"
Norway,13,"16,2","5,5","24,9","10,2","79,3","2,3","32,6","1,2",3
Switzerland,"11,3","17,8",6,"51,9","5,2","86,3","1,4","14,4","0,5","9,11"
North Macedonia,"13,8","12,6","15,5",33,"11,4","86,5","30,6","25,7","0,9","8,65"
Serbia,"11,1","18,4","12,7","61,5","7,5","91,4","24,6","31,9",6,"4,37"
Turkey,"16,5",8,"7,7","23,4","36,4","53,8","30,4","25,1","3,9","2,59"